Date,High,Low,Open,Close,Volume,Adj Close
12/31/1996,,,,,,
1/2/1997,13362.5,13200.2002,13362.5,13203.40039,0,13203.40039
1/3/1997,13241.2002,13147.2998,13173.2998,13222.7998,0,13222.7998
1/6/1997,13443.90039,13282.2998,13282.2998,13443.90039,0,13443.90039
1/7/1997,13564.59961,13371.7998,13515.59961,13420.2002,0,13420.2002
1/8/1997,13501.2002,13432.7998,13442.09961,13454.90039,0,13454.90039
1/9/1997,13412,13086.2002,13412,13198.09961,0,13198.09961
1/10/1997,13335.5,13133.09961,13290.2998,13191.5,0,13191.5
1/13/1997,13310.2998,13103.90039,13165.2002,13289.2002,0,13289.2002
1/14/1997,13328,13215.59961,13280.2002,13293.90039,0,13293.90039
1/15/1997,13771.5,13407.40039,13407.40039,13766.7002,0,13766.7002
1/16/1997,14004.90039,13684.2998,13749.7002,13830.7002,0,13830.7002
1/17/1997,13977.5,13794.40039,13879.2002,13856.40039,0,13856.40039
1/20/1997,13994.90039,13828.7002,13928.7002,13868.2002,0,13868.2002
1/21/1997,13824.2002,13712.09961,13824.2002,13732.7998,0,13732.7998
1/22/1997,13898.2998,13674.7998,13800.2998,13692.7998,0,13692.7998
1/23/1997,13680.2002,13591.40039,13680.2002,13610.2998,0,13610.2998
1/24/1997,13493.5,13362,13471.5,13379.59961,0,13379.59961
1/27/1997,13314.09961,13210.59961,13314.09961,13294.90039,0,13294.90039
1/28/1997,13450.59961,13279.2002,13279.2002,13403.2998,0,13403.2998
1/29/1997,13486.7998,13182.5,13438.2998,13285.40039,0,13285.40039
1/30/1997,13405.5,13250.59961,13353.7998,13288.40039,0,13288.40039
1/31/1997,13432.7002,13292.5,13355.7998,13321.7998,0,13321.7998
2/3/1997,13499.5,13340.7002,13340.7002,13451.09961,0,13451.09961
2/4/1997,13563.90039,13435.5,13468.90039,13548.40039,0,13548.40039
2/5/1997,13660.5,13541.2002,13567.2998,13660.5,0,13660.5
2/6/1997,,,,,,
2/7/1997,,,,,,
2/10/1997,13860.90039,13616.59961,13856.5,13643.5,0,13643.5
2/11/1997,13617.90039,13380,13617.90039,13454.2002,0,13454.2002
2/12/1997,13497.90039,13364.09961,13478.7998,13462.59961,0,13462.59961
2/13/1997,13589.7002,13240,13541.2998,13240,0,13240
2/14/1997,13215.7998,12962.2002,13215.7998,13113.2998,0,13113.2998
2/18/1997,13123.90039,12934,13108.5,13102.90039,0,13102.90039
2/19/1997,13145.40039,13002.59961,13145.40039,13106.2998,0,13106.2998
2/20/1997,13427,13013.2998,13013.2998,13411.2998,0,13411.2998
2/21/1997,13452.2002,13336,13352.7998,13444.90039,0,13444.90039
2/24/1997,13447,13347.7998,13437.7002,13375.7002,0,13375.7002
2/25/1997,13539.40039,13384.90039,13431.90039,13520.2998,0,13520.2998
